committee_name,support_oppose_indicator,candidate_name,candidate_party,expenditure_amount,expenditure_description,expenditure_date,report_year
LCV VICTORY FUND,O,"HECK, JOE",REP,72.64,STAFF TIME FOR PRESS RELEASE,2016-07-21 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,8953.51,TV AD PRODUCTION (NOTE: REPORTED WITH AMOUNT OF $8762.61 ON 24-HOUR REPORT; SUBSEQUENT INVOICE WAS $,2016-11-30 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,2040211.46,FIELD CANVASS CONSULTING,2016-10-03 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,49263.3,"DIGITAL AD BUY (REPORTED AS $50,000 ESTIMATE ON 24-HOUR REPORT 11/2/2016)",2016-11-03 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",,14000.0,PHONE SURVEY (ESTIMATE),2016-09-26 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,250000.0,DIGITAL ADVERTISING,2016-11-01 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,1943451.92,MAILER AND POSTAGE,2016-10-21 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,48375.0,POLLING,2016-07-21 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,4231.42,TV AD PRODUCTION,2016-10-14 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,151.48,STAFF TIME FOR RESEARCH MEMO,2016-09-14 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,11278.03,TV AD PRODUCTION COSTS,2016-07-22 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,1784702.5,"FIELD CANVASS CONSULTING (REPORTED WITH ESTIMATE OF 1,784,702.50 ON 48-HOUR REPORT FILED 9/11/16)",2016-09-20 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,1495.0,DIGITAL AD PRODUCTION (REPORTED AS MEMO ITEM ON SCHEDULE E 10/18/2016),2016-10-31 00:00:00,2016
LCV VICTORY FUND,S,"CORTEZ MASTO, CATHERINE",DEM,4540.84,DIGITAL  AD PRODUCTION,2016-10-13 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",,3205.52,PLEDGE CARDS (ESTIMATE),2016-10-18 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",,11000.0,CAMPAIGN CONSULTING (ESTIMATE),2016-09-26 00:00:00,2016
LCV VICTORY FUND,,"TRUMP, DONALD J.",REP,11000.0,CAMPAIGN CONSULTING (REPORTED WITH ESTIMATE OF $11000 ON 9/26),2016-10-31 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,414410.28,TV AD BUY,2016-07-22 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,250000.0,DIGITAL ADVERTISING,2016-11-01 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,75.78,STAFF TIME FOR PRESS RELEASE,2016-10-31 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,784586.0,TV AD BUY,2016-08-31 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",,10000.0,FACEBOOK AD (ESTIMATE),2016-10-11 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,196.2,STAFF TIME FOR MAILER COPY,2016-05-05 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,65000.0,MAILER,2016-02-24 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,151.48,STAFF TIME FOR RESEARCH MEMO,2016-09-14 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,1457.46,TV AD SHIPPING COSTS,2016-09-08 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,49.99,SHIPPING,2016-09-22 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,85.95,STAFF TIME AND EMAIL FOR ONLINE MESSAGE,2016-06-21 00:00:00,2016
LCV VICTORY FUND,S,"FEINGOLD, RUSS D. SEN.",DEM,6555.46,DIGITAL AD PRODUCTION COSTS,2016-08-01 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,860395.0,TV AD BUY,2016-08-31 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,16142.51,TV AD PRODUCTION COSTS,2016-09-08 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,448.48,STAFF TIME AND EMAIL FOR ONLINE MESSAGE,2016-09-26 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",,1495.0,DIGITAL AD PRODUCTION,2016-10-18 00:00:00,2016
