committee_name,support_oppose_indicator,candidate_name,candidate_party,expenditure_amount,expenditure_description,expenditure_date,report_year
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,3628.0,DIGITAL AD PRODUCTION,2020-07-17 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,22.79,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-22 00:00:00,2020
LCV VICTORY FUND,O,"COLLINS, SUSAN M",REP,87702.49,MAILER & POSTAGE,2020-09-16 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,22.79,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,516372.78,MAILER & POSTAGE,2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,200.0,CONSULTING - ONLINE MESSAGING,2020-09-25 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,34.18,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-04-10 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,15.19,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-09-08 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,30853.53,MAILER & POSTAGE,2020-10-02 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,136.71,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-07-31 00:00:00,2020
LCV VICTORY FUND,O,"HUDSON, RICHARD L. JR.",REP,36.86,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-10-27 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,682.5,RESEARCH SERVICES,2020-09-08 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,98000.0,DIGITAL AD PRODUCTION,2020-10-08 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,103.63,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-05-18 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,61060.23,MAILER & POSTAGE,2020-10-14 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,629.34,STAFF TIME AND TEXTS FOR MOBILE ALERT (VIA DRAWDOWN),2020-10-14 00:00:00,2020
LCV VICTORY FUND,O,"GARBARINO, ANDREW",REP,3200.0,INKIND: POLLING,2020-10-16 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,47158.97,DIGITAL AD PRODUCTION,2020-06-23 00:00:00,2020
LCV VICTORY FUND,S,"GIDEON, SARA",DEM,4974.73,TELEPHONE SERVICES,2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"JUNGE, PAUL",REP,5917.94,TV AD PRODUCTION,2020-09-22 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,250.0,DIGITAL AD PRODUCTION & BUY,2020-10-23 00:00:00,2020
LCV VICTORY FUND,O,"COLLINS, SUSAN M",REP,266.67,CONSULTING - ONLINE MESSAGING,2020-08-31 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,150947.55,MAILER & POSTAGE,2020-07-17 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,75.95,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-08-31 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,1373.0,DIGITAL AD PRODUCTION,2020-05-13 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,5130.7,DIGITAL AD PRODUCTION,2020-06-15 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,11058.0,DIGITAL AD PRODUCTION,2020-10-13 00:00:00,2020
LCV VICTORY FUND,S,"GORDON, JACQUELINE",DEM,9.11,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-14 00:00:00,2020
LCV VICTORY FUND,S,"WARNOCK, RAPHAEL",DEM,149.99,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-12-07 00:00:00,2020
